iter	Passed	Remaining
0	1	171
1	3	167
2	5	163
3	6	152
4	7	149
5	9	149
6	11	148
7	12	148
8	14	145
9	16	144
10	17	141
11	18	139
12	20	137
13	22	135
14	23	134
15	25	131
16	26	129
17	28	128
18	29	127
19	31	126
20	33	124
21	34	123
22	36	122
23	38	120
24	39	119
25	41	118
26	43	117
27	45	116
28	46	114
29	48	112
30	50	111
31	51	109
32	53	108
33	54	106
34	56	104
35	57	102
36	59	101
37	61	99
38	63	98
39	65	97
40	66	95
41	67	93
42	68	91
43	70	89
44	71	87
45	73	86
46	74	84
47	76	82
48	78	81
49	79	79
50	81	77
51	82	76
52	84	74
53	86	73
54	87	71
55	88	69
56	89	67
57	91	66
58	93	64
59	94	63
60	96	61
61	98	60
62	99	58
63	101	57
64	103	55
65	104	53
66	106	52
67	107	50
68	109	49
69	110	47
70	112	45
71	113	44
72	115	42
73	116	40
74	118	39
75	120	37
76	121	36
77	123	34
78	124	33
79	126	31
80	127	29
81	129	28
82	131	26
83	132	25
84	133	23
85	135	22
86	136	20
87	138	18
88	139	17
89	141	15
90	142	14
91	144	12
92	146	10
93	147	9
94	149	7
95	150	6
96	152	4
97	154	3
98	156	1
99	157	0
