iter	Passed	Remaining
0	122	122408
1	126	62968
2	128	42632
3	131	32649
4	133	26506
5	134	22350
6	136	19410
7	139	17271
8	141	15582
9	143	14167
10	145	13044
11	147	12142
12	149	11341
13	153	10779
14	155	10221
15	157	9683
16	159	9230
17	161	8800
18	163	8421
19	164	8079
20	167	7814
21	169	7533
22	171	7278
23	173	7042
24	175	6837
25	177	6645
26	179	6462
27	181	6295
28	183	6141
29	185	5997
30	187	5853
31	189	5734
32	191	5620
33	194	5513
34	196	5414
35	198	5309
36	200	5221
37	203	5140
38	204	5044
39	205	4943
40	208	4874
41	210	4792
42	212	4722
43	214	4652
44	216	4595
45	218	4524
46	219	4453
47	221	4399
48	224	4357
49	226	4297
50	227	4237
51	229	4182
52	230	4126
53	232	4073
54	234	4021
55	235	3973
56	237	3925
57	239	3883
58	240	3838
59	242	3793
60	243	3748
61	245	3707
62	246	3668
63	248	3631
64	249	3590
65	251	3559
66	253	3524
67	254	3487
68	255	3453
69	258	3429
70	259	3398
71	261	3365
72	262	3338
73	265	3316
74	266	3286
75	268	3258
76	269	3232
77	271	3206
78	273	3187
79	274	3162
80	276	3138
81	278	3114
82	278	3082
83	280	3058
84	281	3035
85	283	3011
86	284	2988
87	286	2966
88	287	2944
89	289	2924
90	290	2903
91	292	2884
92	293	2865
93	295	2846
94	296	2828
95	298	2809
96	299	2789
97	301	2778
98	303	2761
99	305	2745
100	306	2728
101	308	2712
102	309	2697
103	311	2682
104	312	2667
105	314	2650
106	315	2635
107	317	2620
108	318	2605
109	320	2593
110	322	2579
111	323	2565
112	325	2551
113	326	2538
114	328	2524
115	329	2512
116	330	2498
117	332	2486
118	334	2472
119	335	2459
120	336	2446
121	338	2434
122	340	2429
123	342	2417
124	343	2404
125	345	2394
126	346	2380
127	347	2369
128	350	2366
129	352	2356
130	353	2345
131	355	2335
132	357	2328
133	358	2318
134	360	2309
135	362	2302
136	365	2303
137	367	2293
138	369	2286
139	370	2278
140	372	2268
141	375	2266
142	376	2257
143	378	2249
144	379	2240
145	381	2230
146	383	2226
147	385	2217
148	387	2211
149	389	2204
150	392	2204
151	393	2196
152	395	2187
153	397	2181
154	398	2173
155	401	2174
156	403	2165
157	404	2156
158	406	2148
159	407	2140
160	408	2129
161	411	2129
162	413	2122
163	414	2114
164	416	2107
165	419	2107
166	420	2099
167	422	2092
168	424	2085
169	425	2077
170	428	2075
171	429	2068
172	431	2060
173	432	2053
174	434	2047
175	436	2041
176	437	2035
177	439	2028
178	440	2022
179	443	2019
180	445	2013
181	446	2007
182	448	2000
183	449	1994
184	452	1991
185	454	1987
186	455	1980
187	457	1974
188	458	1969
189	461	1965
190	462	1959
191	464	1953
192	466	1948
193	468	1946
194	470	1940
195	471	1933
196	472	1927
197	474	1922
198	477	1921
199	478	1915
200	480	1910
201	482	1905
202	483	1899
203	485	1895
204	487	1890
205	488	1884
206	490	1878
207	491	1873
208	495	1873
209	496	1868
210	498	1862
211	499	1858
212	501	1853
213	504	1853
214	506	1847
215	507	1843
216	509	1838
217	511	1833
218	512	1828
219	514	1823
220	516	1818
221	517	1813
222	519	1808
223	522	1810
224	523	1804
225	525	1799
226	527	1794
227	528	1789
228	531	1789
229	532	1784
230	534	1779
231	536	1775
232	537	1770
233	539	1766
234	540	1760
235	542	1756
236	544	1752
237	547	1752
238	548	1747
239	550	1742
240	551	1738
241	553	1733
242	555	1730
243	557	1726
244	558	1721
245	560	1717
246	561	1712
247	563	1707
248	564	1703
249	566	1699
250	568	1695
251	571	1694
252	572	1690
253	574	1686
254	575	1682
255	577	1677
256	580	1677
257	581	1672
258	583	1668
259	585	1665
260	586	1661
261	588	1657
262	590	1653
263	591	1650
264	593	1645
265	594	1641
266	596	1638
267	598	1634
268	600	1630
269	601	1626
270	603	1623
271	605	1619
272	606	1615
273	608	1611
274	610	1610
275	612	1606
276	613	1602
277	615	1598
278	616	1594
279	618	1591
280	620	1587
281	622	1583
282	623	1579
283	624	1575
284	627	1573
285	628	1569
286	630	1565
287	631	1561
288	633	1557
289	635	1555
290	637	1552
291	638	1548
292	640	1544
293	642	1541
294	643	1538
295	645	1534
296	646	1531
297	648	1527
298	651	1526
299	652	1522
300	653	1518
301	655	1514
302	656	1510
303	659	1510
304	661	1507
305	662	1503
306	664	1499
307	665	1496
308	668	1494
309	669	1490
310	671	1486
311	672	1483
312	674	1480
313	677	1480
314	679	1477
315	681	1474
316	682	1470
317	684	1467
318	686	1464
319	687	1461
320	689	1457
321	690	1454
322	692	1450
323	694	1448
324	695	1444
325	697	1441
326	699	1438
327	701	1437
328	703	1433
329	704	1430
330	706	1427
331	708	1424
332	709	1421
333	711	1418
334	712	1415
335	714	1411
336	715	1408
337	718	1406
338	719	1403
339	721	1399
340	722	1396
341	724	1393
342	727	1393
343	728	1390
344	730	1387
345	732	1383
346	733	1380
347	735	1378
348	737	1375
349	738	1372
350	740	1368
351	742	1366
352	743	1363
353	745	1359
354	746	1356
355	749	1356
356	751	1353
357	752	1350
358	754	1347
359	756	1344
360	758	1342
361	759	1338
362	761	1336
363	762	1332
364	764	1330
365	767	1329
366	769	1326
367	770	1323
368	772	1320
369	773	1317
370	775	1314
371	777	1311
372	778	1308
373	780	1305
374	782	1303
375	783	1300
376	785	1297
377	786	1294
378	788	1291
379	790	1289
380	791	1286
381	793	1283
382	794	1280
383	796	1277
384	799	1277
385	801	1274
386	802	1271
387	803	1268
388	805	1265
389	808	1264
390	809	1261
391	811	1258
392	813	1256
393	816	1255
394	818	1252
395	819	1249
396	821	1247
397	822	1244
398	825	1242
399	826	1240
400	828	1237
401	830	1235
402	833	1234
403	834	1231
404	836	1229
405	838	1226
406	839	1223
407	841	1221
408	843	1218
409	844	1215
410	846	1212
411	847	1210
412	849	1207
413	851	1205
414	853	1202
415	854	1199
416	857	1198
417	858	1195
418	860	1193
419	861	1190
420	863	1187
421	865	1185
422	867	1182
423	868	1180
424	870	1178
425	873	1176
426	874	1173
427	876	1171
428	878	1169
429	881	1168
430	883	1166
431	885	1163
432	886	1161
433	888	1158
434	890	1156
435	892	1154
436	893	1151
437	896	1150
438	898	1147
439	899	1144
440	906	1148
441	907	1146
442	910	1145
443	912	1142
444	914	1140
445	915	1137
446	917	1134
447	919	1132
448	921	1130
449	922	1128
450	924	1125
451	927	1125
452	929	1122
453	931	1120
454	933	1118
455	935	1115
456	938	1114
457	940	1112
458	942	1110
459	943	1107
460	945	1105
461	947	1103
462	949	1100
463	951	1098
464	955	1099
465	957	1096
466	958	1094
467	960	1091
468	962	1089
469	965	1089
470	967	1086
471	973	1089
472	975	1086
473	978	1085
474	980	1083
475	981	1080
476	983	1078
477	986	1077
478	988	1075
479	991	1074
480	994	1072
481	995	1069
482	996	1067
483	998	1064
484	1002	1064
485	1003	1061
486	1005	1059
487	1007	1056
488	1010	1055
489	1011	1053
490	1013	1050
491	1015	1048
492	1017	1046
493	1019	1044
494	1021	1042
495	1023	1039
496	1024	1036
497	1026	1034
498	1029	1034
499	1031	1031
500	1033	1029
501	1036	1028
502	1038	1026
503	1040	1023
504	1041	1021
